,index,optim,lr,loss
37,1869,adam,1.4450764714274963e-06,7.111227989196777
38,1870,adam,1.4595272361417712e-06,7.268815994262695
39,1871,adam,1.474122508503189e-06,7.180898666381836
40,1872,adam,1.4888637335882209e-06,7.159229755401611
41,1873,adam,1.5037523709241031e-06,7.181020259857178
42,1874,adam,1.5187898946333443e-06,7.179739952087402
43,1875,adam,1.5339777935796777e-06,7.180719375610352
44,1876,adam,1.5493175715154744e-06,7.1468329429626465
45,1877,adam,1.5648107472306292e-06,7.133579254150391
46,1878,adam,1.5804588547029355e-06,7.128093242645264
47,1879,adam,1.5962634432499648e-06,7.063864231109619
48,1880,adam,1.6122260776824644e-06,7.190846920013428
49,1881,adam,1.6283483384592892e-06,7.139892578125
50,1882,adam,1.644631821843882e-06,7.0578460693359375
51,1883,adam,1.6610781400623208e-06,7.112827301025391
52,1884,adam,1.6776889214629442e-06,7.093719959259033
53,1885,adam,1.6944658106775735e-06,7.093757629394531
54,1886,adam,1.7114104687843492e-06,7.03449821472168
55,1887,adam,1.7285245734721926e-06,7.1514716148376465
56,1888,adam,1.7458098192069145e-06,7.1013503074646
57,1889,adam,1.7632679173989838e-06,7.130838394165039
58,1890,adam,1.7809005965729735e-06,7.100521087646484
59,1891,adam,1.7987096025387033e-06,7.087480545043945
60,1892,adam,1.8166966985640905e-06,7.044805526733398
61,1893,adam,1.8348636655497314e-06,7.102051734924316
62,1894,adam,1.8532123022052287e-06,7.016402721405029
63,1895,adam,1.871744425227281e-06,7.087955474853516
64,1896,adam,1.8904618694795538e-06,7.0248942375183105
65,1897,adam,1.9093664881743493e-06,6.9842529296875
66,1898,adam,1.9284601530560927e-06,6.991486072540283
67,1899,adam,1.9477447545866537e-06,6.905447959899902
68,1900,adam,1.9672222021325203e-06,7.014409065246582
69,1901,adam,1.9868944241538454e-06,6.924046039581299
70,1902,adam,2.006763368395384e-06,6.9695963859558105
71,1903,adam,2.026831002079338e-06,6.948632717132568
72,1904,adam,2.0470993121001315e-06,7.01148796081543
73,1905,adam,2.067570305221133e-06,6.874447822570801
74,1906,adam,2.088246008273344e-06,6.906002521514893
75,1907,adam,2.1091284683560776e-06,6.897436141967773
76,1908,adam,2.1302197530396385e-06,6.952305793762207
77,1909,adam,2.151521950570035e-06,6.915892601013184
78,1910,adam,2.173037170075735e-06,6.899119853973389
79,1911,adam,2.1947675417764925e-06,6.911519527435303
80,1912,adam,2.2167152171942576e-06,6.874173641204834
81,1913,adam,2.2388823693662e-06,6.8623270988464355
82,1914,adam,2.2612711930598622e-06,6.8181681632995605
83,1915,adam,2.283883904990461e-06,6.730481147766113
84,1916,adam,2.3067227440403656e-06,6.798971176147461
85,1917,adam,2.3297899714807694e-06,6.828131675720215
86,1918,adam,2.353087871195577e-06,6.788452625274658
87,1919,adam,2.3766187499075327e-06,6.866503715515137
88,1920,adam,2.400384937406608e-06,6.803980350494385
89,1921,adam,2.424388786780674e-06,6.743058204650879
90,1922,adam,2.4486326746484807e-06,6.728004455566406
91,1923,adam,2.4731190013949654e-06,6.834418773651123
92,1924,adam,2.497850191408915e-06,6.765345096588135
93,1925,adam,2.522828693323004e-06,6.727487564086914
94,1926,adam,2.5480569802562343e-06,6.740371227264404
95,1927,adam,2.5735375500587964e-06,6.655616283416748
96,1928,adam,2.5992729255593846e-06,6.688905715942383
97,1929,adam,2.6252656548149785e-06,6.647427558898926
98,1930,adam,2.651518311363128e-06,6.757927417755127
99,1931,adam,2.6780334944767595e-06,6.677587985992432
100,1932,adam,2.7048138294215272e-06,6.681827068328857
101,1933,adam,2.7318619677157427e-06,6.708064556121826
102,1934,adam,2.7591805873929002e-06,6.731325626373291
103,1935,adam,2.786772393266829e-06,6.683747291564941
104,1936,adam,2.8146401171994977e-06,6.629017353057861
105,1937,adam,2.8427865183714927e-06,6.583281517028809
106,1938,adam,2.8712143835552076e-06,6.604083061218262
107,1939,adam,2.8999265273907598e-06,6.610657691955566
108,1940,adam,2.928925792664667e-06,6.526156902313232
109,1941,adam,2.9582150505913138e-06,6.571988582611084
110,1942,adam,2.987797201097227e-06,6.507573127746582
111,1943,adam,3.017675173108199e-06,6.5181379318237305
112,1944,adam,3.047851924839281e-06,6.464299201965332
113,1945,adam,3.078330444087674e-06,6.4849958419799805
114,1946,adam,3.1091137485285506e-06,6.513981819152832
115,1947,adam,3.140204886013836e-06,6.540927886962891
116,1948,adam,3.1716069348739743e-06,6.469648838043213
117,1949,adam,3.203323004222714e-06,6.447531223297119
118,1950,adam,3.235356234264941e-06,6.367490768432617
119,1951,adam,3.2677097966075907e-06,6.394126892089844
120,1952,adam,3.3003868945736665e-06,6.39382791519165
121,1953,adam,3.3333907635194033e-06,6.368658542633057
122,1954,adam,3.366724671154597e-06,6.409821033477783
123,1955,adam,3.400391917866143e-06,6.377225399017334
124,1956,adam,3.434395837044805e-06,6.343061923980713
125,1957,adam,3.468739795415253e-06,6.313723564147949
126,1958,adam,3.5034271933694055e-06,6.351815223693848
127,1959,adam,3.5384614653030997e-06,6.249758243560791
128,1960,adam,3.5738460799561307e-06,6.32686185836792
129,1961,adam,3.6095845407556923e-06,6.281490325927734
130,1962,adam,3.6456803861632494e-06,6.334838390350342
131,1963,adam,3.682137190024882e-06,6.253970623016357
132,1964,adam,3.718958561925131e-06,6.240680694580078
133,1965,adam,3.7561481475443823e-06,6.220559597015381
134,1966,adam,3.7937096290198264e-06,6.199383735656738
135,1967,adam,3.831646725310025e-06,6.157516956329346
136,1968,adam,3.869963192563125e-06,6.1511664390563965
137,1969,adam,3.908662824488756e-06,6.132906913757324
138,1970,adam,3.947749452733644e-06,6.114707946777344
139,1971,adam,3.98722694726098e-06,6.113739967346191
140,1972,adam,4.02709921673359e-06,6.047239303588867
141,1973,adam,4.067370208900926e-06,6.110604763031006
142,1974,adam,4.108043910989936e-06,6.078761577606201
143,1975,adam,4.149124350099835e-06,6.081991672515869
144,1976,adam,4.190615593600833e-06,6.016777992248535
145,1977,adam,4.232521749536842e-06,6.104088306427002
146,1978,adam,4.27484696703221e-06,6.070286273956299
147,1979,adam,4.3175954367025324e-06,5.980485439300537
148,1980,adam,4.360771391069557e-06,5.964066028594971
149,1981,adam,4.404379104980253e-06,5.930385589599609
150,1982,adam,4.448422896030055e-06,6.017673969268799
151,1983,adam,4.492907124990356e-06,5.91581916809082
152,1984,adam,4.53783619624026e-06,5.921135425567627
153,1985,adam,4.583214558202662e-06,5.895104885101318
154,1986,adam,4.6290467037846885e-06,5.862473011016846
155,1987,adam,4.675337170822536e-06,5.846933364868164
156,1988,adam,4.722090542530761e-06,5.779463291168213
157,1989,adam,4.769311447956069e-06,5.731151580810547
158,1990,adam,4.81700456243563e-06,5.829451560974121
159,1991,adam,4.865174608059987e-06,5.758284568786621
160,1992,adam,4.913826354140586e-06,5.755274772644043
161,1993,adam,4.9629646176819924e-06,5.70062255859375
162,1994,adam,5.012594263858813e-06,5.7028727531433105
163,1995,adam,5.062720206497401e-06,5.747852325439453
164,1996,adam,5.1133474085623755e-06,5.589054584503174
165,1997,adam,5.164480882647999e-06,5.592057704925537
166,1998,adam,5.216125691474479e-06,5.650999069213867
167,1999,adam,5.268286948389224e-06,5.596723556518555
168,2000,adam,5.320969817873116e-06,5.550086975097656
169,2001,adam,5.374179516051848e-06,5.594704627990723
170,2002,adam,5.4279213112123665e-06,5.573686599731445
171,2003,adam,5.48220052432449e-06,5.572922706604004
172,2004,adam,5.537022529567735e-06,5.542182922363281
173,2005,adam,5.592392754863413e-06,5.478989601135254
174,2006,adam,5.648316682412047e-06,5.540085792541504
175,2007,adam,5.704799849236167e-06,5.45464563369751
176,2008,adam,5.761847847728529e-06,5.4213480949401855
177,2009,adam,5.8194663262058146e-06,5.38755989074707
178,2010,adam,5.8776609894678725e-06,5.373565673828125
179,2011,adam,5.9364375993625514e-06,5.3921732902526855
180,2012,adam,5.995801975356177e-06,5.329447269439697
181,2013,adam,6.0557599951097386e-06,5.333980083465576
182,2014,adam,6.116317595060836e-06,5.320418357849121
183,2015,adam,6.177480771011445e-06,5.294797897338867
184,2016,adam,6.2392555787215596e-06,5.2357683181762695
185,2017,adam,6.301648134508775e-06,5.251235008239746
186,2018,adam,6.364664615853863e-06,5.255966663360596
187,2019,adam,6.428311262012402e-06,5.2155046463012695
188,2020,adam,6.492594374632526e-06,5.155953884124756
189,2021,adam,6.557520318378851e-06,5.184988975524902
190,2022,adam,6.6230955215626394e-06,5.054944038391113
191,2023,adam,6.689326476778266e-06,5.023890495300293
192,2024,adam,6.756219741546049e-06,5.021895408630371
193,2025,adam,6.8237819389615096e-06,4.992732048034668
194,2026,adam,6.892019758351125e-06,4.877091884613037
195,2027,adam,6.960939955934636e-06,4.9528985023498535
196,2028,adam,7.030549355493983e-06,4.939201354980469
197,2029,adam,7.100854849048923e-06,5.012391090393066
198,2030,adam,7.171863397539413e-06,4.817615509033203
199,2031,adam,7.2435820315148064e-06,4.81449031829834
200,2032,adam,7.316017851829955e-06,4.879838466644287
201,2033,adam,7.389178030348254e-06,4.8031744956970215
202,2034,adam,7.463069810651736e-06,4.835992336273193
203,2035,adam,7.537700508758253e-06,4.901124000549316
204,2036,adam,7.613077513845836e-06,4.773622035980225
205,2037,adam,7.689208288984295e-06,4.765750885009766
206,2038,adam,7.766100371874139e-06,4.672358989715576
207,2039,adam,7.84376137559288e-06,4.704143524169922
208,2040,adam,7.922198989348809e-06,4.675352096557617
209,2041,adam,8.001420979242297e-06,4.6366448402404785
210,2042,adam,8.08143518903472e-06,4.654140949249268
211,2043,adam,8.162249540925068e-06,4.549557685852051
212,2044,adam,8.243872036334318e-06,4.530247211456299
213,2045,adam,8.32631075669766e-06,4.449166774749756
214,2046,adam,8.409573864264638e-06,4.4777116775512695
215,2047,adam,8.493669602907284e-06,4.55178689956665
216,2048,adam,8.578606298936358e-06,4.426587104797363
217,2049,adam,8.66439236192572e-06,4.428624153137207
218,2050,adam,8.751036285544978e-06,4.3624587059021
219,2051,adam,8.838546648400427e-06,4.402149200439453
220,2052,adam,8.926932114884432e-06,4.391472816467285
221,2053,adam,9.016201436033277e-06,4.3177876472473145
222,2054,adam,9.10636345039361e-06,4.2825422286987305
223,2055,adam,9.197427084897546e-06,4.217995643615723
224,2056,adam,9.289401355746522e-06,4.252755165100098
225,2057,adam,9.382295369303988e-06,4.2223358154296875
226,2058,adam,9.476118322997027e-06,4.26316499710083
227,2059,adam,9.570879506226997e-06,4.198617458343506
228,2060,adam,9.666588301289267e-06,4.084916114807129
229,2061,adam,9.76325418430216e-06,4.107884883880615
230,2062,adam,9.860886726145182e-06,4.045678615570068
231,2063,adam,9.959495593406634e-06,4.015359878540039
232,2064,adam,1.00590905493407e-05,4.019845008850098
233,2065,adam,1.0159681454834107e-05,3.9863319396972656
234,2066,adam,1.0261278269382448e-05,3.9885506629943848
235,2067,adam,1.0363891052076273e-05,3.9233741760253906
236,2068,adam,1.0467529962597036e-05,3.8611936569213867
237,2069,adam,1.0572205262223007e-05,3.9384653568267822
238,2070,adam,1.0677927314845237e-05,3.8693151473999023
239,2071,adam,1.0784706587993689e-05,3.781891345977783
240,2072,adam,1.0892553653873626e-05,3.7422802448272705
241,2073,adam,1.1001479190412362e-05,3.737743377685547
242,2074,adam,1.1111493982316485e-05,3.714527130126953
243,2075,adam,1.122260892213965e-05,3.687450885772705
244,2076,adam,1.1334835011361047e-05,3.6363284587860107
245,2077,adam,1.1448183361474658e-05,3.61232852935791
246,2078,adam,1.1562665195089404e-05,3.5277652740478516
247,2079,adam,1.1678291847040298e-05,3.611865282058716
248,2080,adam,1.17950747655107e-05,3.64579701423645
249,2081,adam,1.1913025513165808e-05,3.5466132164001465
250,2082,adam,1.2032155768297467e-05,3.510995388031006
251,2083,adam,1.2152477325980441e-05,3.470020055770874
252,2084,adam,1.2274002099240245e-05,3.4670350551605225
253,2085,adam,1.2396742120232648e-05,3.439845323562622
254,2086,adam,1.2520709541434974e-05,3.4535367488861084
255,2087,adam,1.2645916636849323e-05,3.4389827251434326
256,2088,adam,1.2772375803217817e-05,3.3281023502349854
257,2089,adam,1.2900099561249995e-05,3.379549026489258
258,2090,adam,1.3029100556862496e-05,3.2493112087249756
259,2091,adam,1.315939156243112e-05,3.309143543243408
260,2092,adam,1.3290985478055432e-05,3.309535026550293
261,2093,adam,1.3423895332835986e-05,3.3013789653778076
262,2094,adam,1.3558134286164346e-05,3.193039655685425
263,2095,adam,1.369371562902599e-05,3.1565494537353516
264,2096,adam,1.383065278531625e-05,3.199679136276245
265,2097,adam,1.3968959313169413e-05,3.2014553546905518
266,2098,adam,1.4108648906301107e-05,3.2491185665130615
267,2099,adam,1.4249735395364118e-05,3.1800503730773926
268,2100,adam,1.439223274931776e-05,3.1435766220092773
269,2101,adam,1.4536155076810937e-05,3.0829203128814697
270,2102,adam,1.4681516627579046e-05,3.057157278060913
271,2103,adam,1.4828331793854836e-05,3.1311163902282715
272,2104,adam,1.4976615111793385e-05,3.076478958129883
273,2105,adam,1.5126381262911318e-05,3.0272841453552246
274,2106,adam,1.5277645075540432e-05,3.0576419830322266
275,2107,adam,1.5430421526295836e-05,3.033414363861084
276,2108,adam,1.5584725741558794e-05,2.974128007888794
277,2109,adam,1.574057299897438e-05,2.991913080215454
278,2110,adam,1.5897978728964126e-05,2.965636968612671
279,2111,adam,1.6056958516253768e-05,2.910048007965088
280,2112,adam,1.6217528101416307e-05,2.9983394145965576
281,2113,adam,1.637970338243047e-05,2.9284753799438477
282,2114,adam,1.6543500416254774e-05,2.8824973106384277
283,2115,adam,1.6708935420417323e-05,2.855983257293701
284,2116,adam,1.6876024774621498e-05,2.8663034439086914
285,2117,adam,1.7044785022367713e-05,2.878559112548828
286,2118,adam,1.721523287259139e-05,2.8719727993011475
287,2119,adam,1.7387385201317303e-05,2.8527541160583496
288,2120,adam,1.7561259053330477e-05,2.8556251525878906
289,2121,adam,1.773687164386378e-05,2.7620458602905273
290,2122,adam,1.791424036030242e-05,2.7770931720733643
291,2123,adam,1.8093382763905445e-05,2.8101861476898193
292,2124,adam,1.82743165915445e-05,2.8276214599609375
293,2125,adam,1.8457059757459946e-05,2.7268121242523193
294,2126,adam,1.8641630355034544e-05,2.7033047676086426
295,2127,adam,1.882804665858489e-05,2.7178359031677246
296,2128,adam,1.9016327125170738e-05,2.7551894187927246
297,2129,adam,1.9206490396422447e-05,2.7363154888153076
298,2130,adam,1.939855530038667e-05,2.7200589179992676
299,2131,adam,1.9592540853390538e-05,2.633192777633667
300,2132,adam,1.9788466261924443e-05,2.6520040035247803
301,2133,adam,1.9986350924543688e-05,2.637899875640869
302,2134,adam,2.0186214433789125e-05,2.662706136703491
303,2135,adam,2.0388076578127017e-05,2.6213958263397217
304,2136,adam,2.0591957343908286e-05,2.6750478744506836
305,2137,adam,2.079787691734737e-05,2.6065125465393066
306,2138,adam,2.1005855686520843e-05,2.5923705101013184
307,2139,adam,2.121591424338605e-05,2.6826276779174805
308,2140,adam,2.142807338581991e-05,2.6462669372558594
309,2141,adam,2.164235411967811e-05,2.5883514881134033
310,2142,adam,2.185877766087489e-05,2.6343801021575928
311,2143,adam,2.207736543748364e-05,2.5911777019500732
312,2144,adam,2.2298139091858476e-05,2.582367181777954
313,2145,adam,2.2521120482777062e-05,2.509681463241577
314,2146,adam,2.2746331687604834e-05,2.5655903816223145
315,2147,adam,2.2973795004480882e-05,2.5414321422576904
316,2148,adam,2.320353295452569e-05,2.575965642929077
317,2149,adam,2.3435568284070946e-05,2.591726064682007
318,2150,adam,2.3669923966911655e-05,2.524472713470459
319,2151,adam,2.390662320658077e-05,2.5332040786743164
320,2152,adam,2.4145689438646577e-05,2.5395874977111816
321,2153,adam,2.4387146333033045e-05,2.5522491931915283
322,2154,adam,2.4631017796363374e-05,2.5245842933654785
323,2155,adam,2.4877327974327007e-05,2.4855477809906006
324,2156,adam,2.5126101254070276e-05,2.446880340576172
325,2157,adam,2.537736226661098e-05,2.480085849761963
326,2158,adam,2.563113588927709e-05,2.4373698234558105
327,2159,adam,2.5887447248169863e-05,2.4512875080108643
328,2160,adam,2.614632172065156e-05,2.5446617603302
329,2161,adam,2.6407784937858075e-05,2.534670829772949
330,2162,adam,2.6671862787236657e-05,2.4456379413604736
331,2163,adam,2.6938581415109022e-05,2.464733600616455
332,2164,adam,2.7207967229260113e-05,2.3986382484436035
333,2165,adam,2.7480046901552715e-05,2.446617364883423
334,2166,adam,2.7754847370568243e-05,2.488924503326416
335,2167,adam,2.8032395844273926e-05,2.4244344234466553
336,2168,adam,2.8312719802716667e-05,2.4650185108184814
337,2169,adam,2.8595847000743834e-05,2.4113807678222656
338,2170,adam,2.888180547075127e-05,2.443916082382202
339,2171,adam,2.9170623525458784e-05,2.4101972579956055
340,2172,adam,2.946232976071337e-05,2.3959388732910156
341,2173,adam,2.9756953058320507e-05,2.3455429077148438
342,2174,adam,3.005452258890371e-05,2.4604077339172363
343,2175,adam,3.035506781479275e-05,2.4345128536224365
344,2176,adam,3.065861849294068e-05,2.3823118209838867
345,2177,adam,3.0965204677870084e-05,2.4223217964172363
346,2178,adam,3.127485672464878e-05,2.364736318588257
347,2179,adam,3.158760529189527e-05,2.379140615463257
348,2180,adam,3.190348134481422e-05,2.386580228805542
349,2181,adam,3.222251615826236e-05,2.436105966567993
350,2182,adam,3.2544741319844986e-05,2.417297840118408
351,2183,adam,3.287018873304344e-05,2.3758275508880615
352,2184,adam,3.3198890620373874e-05,2.372345209121704
353,2185,adam,3.353087952657761e-05,2.3679213523864746
354,2186,adam,3.386618832184339e-05,2.3431143760681152
355,2187,adam,3.420485020506182e-05,2.356722831726074
356,2188,adam,3.454689870711244e-05,2.4083340167999268
357,2189,adam,3.489236769418357e-05,2.3318369388580322
358,2190,adam,3.5241291371125405e-05,2.3268861770629883
359,2191,adam,3.559370428483666e-05,2.380138635635376
360,2192,adam,3.594964132768503e-05,2.3515381813049316
361,2193,adam,3.630913774096188e-05,2.3500003814697266
362,2194,adam,3.6672229118371496e-05,2.3930232524871826
363,2195,adam,3.703895140955521e-05,2.339456558227539
364,2196,adam,3.740934092365076e-05,2.3720407485961914
365,2197,adam,3.778343433288727e-05,2.3174054622650146
366,2198,adam,3.8161268676216145e-05,2.3316702842712402
367,2199,adam,3.8542881362978305e-05,2.3680129051208496
368,2200,adam,3.892831017660809e-05,2.3923180103302
369,2201,adam,3.931759327837417e-05,2.3789517879486084
370,2202,adam,3.9710769211157915e-05,2.358569860458374
371,2203,adam,4.0107876903269494e-05,2.327009439468384
372,2204,adam,4.050895567230219e-05,2.345822334289551
373,2205,adam,4.091404522902521e-05,2.358370304107666
374,2206,adam,4.132318568131546e-05,2.295746326446533
375,2207,adam,4.173641753812861e-05,2.305428981781006
376,2208,adam,4.2153781713509896e-05,2.3372714519500732
377,2209,adam,4.2575319530645e-05,2.309513807296753
378,2210,adam,4.3001072725951445e-05,2.31134295463562
379,2211,adam,4.343108345321096e-05,2.350506067276001
380,2212,adam,4.386539428774307e-05,2.3118185997009277
381,2213,adam,4.43040482306205e-05,2.3330368995666504
382,2214,adam,4.4747088712926704e-05,2.3200581073760986
383,2215,adam,4.519455960005597e-05,2.304316520690918
384,2216,adam,4.5646505196056534e-05,2.263981580734253
385,2217,adam,4.61029702480171e-05,2.315943717956543
386,2218,adam,4.656399995049727e-05,2.300159454345703
387,2219,adam,4.7029639950002244e-05,2.2942135334014893
388,2220,adam,4.749993634950227e-05,2.285684108734131
389,2221,adam,4.797493571299729e-05,2.3089077472686768
390,2222,adam,4.845468507012726e-05,2.2800989151000977
391,2223,adam,4.893923192082854e-05,2.2914578914642334
392,2224,adam,4.942862424003682e-05,2.260730504989624
393,2225,adam,4.992291048243719e-05,2.244335651397705
394,2226,adam,5.042213958726156e-05,2.244457244873047
395,2227,adam,5.092636098313418e-05,2.2779712677001953
396,2228,adam,5.143562459296552e-05,2.2800440788269043
397,2229,adam,5.194998083889518e-05,2.2394826412200928
398,2230,adam,5.246948064728413e-05,2.2115724086761475
399,2231,adam,5.299417545375697e-05,2.311887264251709
400,2232,adam,5.352411720829454e-05,2.316642999649048
401,2233,adam,5.405935838037748e-05,2.280548334121704
402,2234,adam,5.459995196418126e-05,2.306506872177124
403,2235,adam,5.5145951483823074e-05,2.3024284839630127
404,2236,adam,5.5697410998661305e-05,2.2326364517211914
405,2237,adam,5.625438510864792e-05,2.2320549488067627
406,2238,adam,5.68169289597344e-05,2.2596890926361084
407,2239,adam,5.7385098249331746e-05,2.2478723526000977
408,2240,adam,5.795894923182506e-05,2.2500762939453125
409,2241,adam,5.853853872414331e-05,2.186826705932617
410,2242,adam,5.912392411138475e-05,2.244255542755127
411,2243,adam,5.9715163352498595e-05,2.1975255012512207
412,2244,adam,6.031231498602358e-05,2.2464489936828613
413,2245,adam,6.091543813588382e-05,2.182563066482544
414,2246,adam,6.152459251724266e-05,2.2674710750579834
415,2247,adam,6.213983844241509e-05,2.209137439727783
416,2248,adam,6.276123682683924e-05,2.1555354595184326
417,2249,adam,6.338884919510764e-05,2.2098124027252197
418,2250,adam,6.402273768705871e-05,2.2860910892486572
419,2251,adam,6.466296506392931e-05,2.26096773147583
420,2252,adam,6.53095947145686e-05,2.196133613586426
421,2253,adam,6.596269066171429e-05,2.263160228729248
422,2254,adam,6.662231756833144e-05,2.216439962387085
423,2255,adam,6.728854074401476e-05,2.234832763671875
424,2256,adam,6.796142615145491e-05,2.2200331687927246
425,2257,adam,6.864104041296946e-05,2.2440218925476074
426,2258,adam,6.932745081709916e-05,2.215623140335083
427,2259,adam,7.002072532527015e-05,2.229339599609375
428,2260,adam,7.072093257852286e-05,2.21543288230896
429,2261,adam,7.142814190430808e-05,2.241830348968506
430,2262,adam,7.214242332335116e-05,2.2126145362854004
431,2263,adam,7.286384755658467e-05,2.2082269191741943
432,2264,adam,7.359248603215052e-05,2.2500555515289307
433,2265,adam,7.432841089247202e-05,2.2346513271331787
434,2266,adam,7.507169500139674e-05,2.2272770404815674
435,2267,adam,7.582241195141071e-05,2.2070491313934326
436,2268,adam,7.658063607092481e-05,2.1812286376953125
437,2269,adam,7.734644243163407e-05,2.1874237060546875
438,2270,adam,7.811990685595042e-05,2.144174814224243
439,2271,adam,7.890110592450992e-05,2.1771881580352783
440,2272,adam,7.969011698375502e-05,2.227931022644043
441,2273,adam,8.048701815359257e-05,2.17456316947937
442,2274,adam,8.12918883351285e-05,2.181975841522217
443,2275,adam,8.210480721847979e-05,2.1229732036590576
444,2276,adam,8.292585529066458e-05,2.2021195888519287
445,2277,adam,8.375511384357123e-05,2.220212459564209
446,2278,adam,8.459266498200695e-05,2.1588637828826904
447,2279,adam,8.543859163182702e-05,2.205270767211914
448,2280,adam,8.629297754814529e-05,2.155029535293579
449,2281,adam,8.715590732362674e-05,2.1500446796417236
450,2282,adam,8.802746639686301e-05,2.1479170322418213
451,2283,adam,8.890774106083164e-05,2.1724319458007812
452,2284,adam,8.979681847143996e-05,2.177722692489624
453,2285,adam,9.069478665615436e-05,2.1965537071228027
454,2286,adam,9.16017345227159e-05,2.2292189598083496
455,2287,adam,9.251775186794306e-05,2.2144129276275635
456,2288,adam,9.344292938662249e-05,2.1849522590637207
457,2289,adam,9.437735868048872e-05,2.164872407913208
458,2290,adam,9.532113226729361e-05,2.199197769165039
459,2291,adam,9.627434358996654e-05,2.187297821044922
460,2292,adam,9.723708702586621e-05,2.217472791671753
461,2293,adam,9.820945789612487e-05,2.154529571533203
462,2294,adam,9.919155247508613e-05,2.1766738891601562
463,2295,adam,0.00010018346799983699,2.164708375930786
464,2296,adam,0.00010118530267983537,2.1769843101501465
465,2297,adam,0.00010219715570663371,2.213804244995117
466,2298,adam,0.00010321912726370006,2.248126745223999
467,2299,adam,0.00010425131853633705,2.151888370513916
468,2300,adam,0.00010529383172170042,2.1943717002868652
469,2301,adam,0.00010634677003891742,2.180128335952759
470,2302,adam,0.0001074102377393066,2.244356632232666
471,2303,adam,0.00010848434011669967,2.1898422241210938
472,2304,adam,0.00010956918351786667,2.2238337993621826
473,2305,adam,0.00011066487535304533,2.143545389175415
474,2306,adam,0.00011177152410657579,2.1437811851501465
475,2307,adam,0.00011288923934764156,2.1845550537109375
476,2308,adam,0.00011401813174111798,2.1130669116973877
477,2309,adam,0.00011515831305852916,2.158569812774658
478,2310,adam,0.00011630989618911446,2.140683174133301
479,2311,adam,0.0001174729951510056,2.169870615005493
480,2312,adam,0.00011864772510251566,2.1556172370910645
481,2313,adam,0.00011983420235354082,2.1629343032836914
482,2314,adam,0.00012103254437707623,2.206859588623047
483,2315,adam,0.000122242869820847,2.165311813354492
484,2316,adam,0.00012346529851905546,2.163457155227661
485,2317,adam,0.000124699951504246,2.118321180343628
486,2318,adam,0.00012594695101928846,2.185934066772461
487,2319,adam,0.00012720642052948134,2.1580281257629395
488,2320,adam,0.00012847848473477615,2.1789181232452393
489,2321,adam,0.0001297632695821239,2.1957530975341797
490,2322,adam,0.00013106090227794513,2.121586799621582
491,2323,adam,0.00013237151130072458,2.2249858379364014
492,2324,adam,0.0001336952264137318,2.1809170246124268
493,2325,adam,0.00013503217867786912,2.0659685134887695
494,2326,adam,0.0001363825004646478,2.1468050479888916
495,2327,adam,0.0001377463254692943,2.1314284801483154
496,2328,adam,0.00013912378872398722,2.1428349018096924
497,2329,adam,0.0001405150266112271,2.2024059295654297
498,2330,adam,0.00014192017687733938,2.135317325592041
499,2331,adam,0.00014333937864611276,2.094583511352539
500,2332,adam,0.0001447727724325739,2.1116926670074463
501,2333,adam,0.00014622050015689964,2.0847201347351074
502,2334,adam,0.00014768270515846864,2.1332521438598633
503,2335,adam,0.00014915953221005334,2.1414506435394287
504,2336,adam,0.00015065112753215388,2.1494338512420654
